injection_id,M_c,q,s1_mag,s1_theta,s1_phi,s2_mag,s2_theta,s2_phi,iota,lambda_1,lambda_2,ra,dec,psi,d_L
29,0.8028102012063718,0.7909275415805027,0.18085855275763757,0.6696682073169029,0.9208959138017857,0.9234798432608383,0.5610138682145445,0.43126113989899023,0.8085756588081002,0.006139710384360122,0.9941803087471914,0.4416364187394465,0.4890964106738085,0.465475923784315,0.7006355291013731
30,0.6305089920976523,0.027481754012615503,0.856129185141299,0.09795222137067797,0.3624300032581409,0.28793717323734747,0.8984320688030946,0.6308434367213491,0.7336863628152137,0.505683441970846,0.11669193272688515,0.7773529411338038,0.2520984132118748,0.20554806727238245,0.8354523754555643
31,0.5008038529352783,0.030083078957037147,0.7944754466991399,0.1015874941635191,0.9002564098407031,0.2925055309778897,0.4106969892394676,0.8428121027042692,0.2263990669326307,0.08597459971892384,0.656642733682982,0.45452053385997393,0.3420222705976274,0.6025160924885802,0.7616752706973995
32,0.666894217343698,0.5238674264612276,0.34167477523420103,0.8889057217936116,0.5020794347999723,0.09499340783641057,0.04357755030829098,0.3689221993162292,0.6908192129705557,0.7414463297979107,0.05138120936564338,0.1351961192392993,0.7692020670061867,0.7575645968144394,0.6299229812940847
33,0.979984833275339,0.9015447771904653,0.0017637962413313813,0.17146870968660596,0.37890525179130075,0.2567234315605432,0.6439538374898968,0.8069150034097495,0.9765542591068131,0.2462282401629192,0.702103278130729,0.9564540333583174,0.028966065126853416,0.47891478735341897,0.007773697657970212
34,0.8003138263763647,0.4121186402879893,0.5705616383913368,0.19650917010318583,0.18717962851830927,0.7171883927320472,0.645524243607164,0.5670323448087043,0.3651830007682764,0.8430004997068684,0.3378496105669645,0.9606627161398222,0.9621953342199469,0.3495507899636495,0.3540335277408289
35,0.7773963002167458,0.21766740222553219,0.4288529741370634,0.5597634699199463,0.1621908664276141,0.5092402442934264,0.17183434283007842,0.44045680199570575,0.1933359476872733,0.7745897412199009,0.1989081603724524,0.33301655347741016,0.9602298470008396,0.2751056423465868,0.822891740797234
36,0.3885162765421451,0.650887944815315,0.030489910512053797,0.19015550451837154,0.5494735209517468,0.8146746714316003,0.590236543933245,0.5628700872674411,0.9768189642775502,0.4071979226031691,0.9013689407256479,0.13150224490217724,0.038248476359785365,0.2579006467260467,0.007902721749793087
37,0.12457454988214753,0.9508652553706327,0.9624338121752813,0.9190878973642023,0.46143175264916064,0.024248102503475748,0.04216438513031964,0.22290267634687422,0.06970869388207038,0.4470955527123187,0.8552312508018647,0.7792923372021383,0.3117377709489484,0.8963489596046319,0.9239333194393212
38,0.38437059560920495,0.12418275234887872,0.32983687346520507,0.20277906605203977,0.11630340863494792,0.3285168572320396,0.14419922602752028,0.9770468420126915,0.18534224274995154,0.1299482801200039,0.9408277932513457,0.5935777899368103,0.6258678780035875,0.5174243022950414,0.6945590261687036
39,0.0738195742395521,0.9970444742646924,0.9225588581276934,0.981802605810256,0.2829508844933494,0.267025891853223,0.8018344995773046,0.8585851233269519,0.523547530523919,0.8928951782823639,0.4264037867068781,0.21651723773707773,0.9480474334255565,0.14235360425673638,0.47201793196530417
40,0.7446722816019831,0.040474688553149486,0.21482546154836155,0.06551396143569696,0.5818898748568507,0.9791941615989237,0.20556705095386962,0.7271760528235226,0.5194632902713936,0.25539134412163306,0.7475662110389807,0.5639527292298221,0.1337721348818855,0.23007471361195891,0.5545488353414242
41,0.6135169825403514,0.2035496542286383,0.7348787775967669,0.28700307670144715,0.40598970593712724,0.5668746279269045,0.36862594238137514,0.5461005691197333,0.5458161393255045,0.39448241381905846,0.3595496175332744,0.34174066607330456,0.5622456595621654,0.8499256219228526,0.8355927205800152
42,0.39396733154656005,0.19136106080778914,0.28690363623709025,0.13599987136071323,0.14831089622933932,0.880858283505768,0.629520982065686,0.6646573620050982,0.9312988284142678,0.3819397702211468,0.34440242236079754,0.1491987380056944,0.15440943804789264,0.6251112935044474,0.7307007923194867
43,0.1464094511970981,0.24419589757397014,0.4410618715501379,0.6308048133563359,0.24805228989532602,0.6280915144826245,0.31009212694046384,0.7366932631660273,0.4179829085829973,0.3096938737681832,0.2133198232567204,0.1015537184583985,0.4224841240404599,0.6372057713209793,0.261836469924179
44,0.5682115362102067,0.6822887982613124,0.5316892999637358,0.8917119612278462,0.9658135468601842,0.980926433899918,0.3524418451210838,0.9501764075993592,0.26052876419530446,0.7890430708294699,0.36294581411798027,0.8456559097424375,0.0641783076996346,0.04771467596020505,0.12443963772283399
