source_injection_id,batch,post_jit_sampling_seconds,sample_call_seconds,total_seconds
89,source80-89,47.73275435343385,68.72863275185227,76.49074179306626
90,source90-99,39.07080415263772,95.26761438325047,136.2993346452713
91,source90-99,37.82414114102721,59.73261446878314,65.17923515290022
92,source90-99,46.84378061071038,68.55884405598044,75.30959592759609
93,source90-99,48.643215738236904,69.46793001517653,75.43318765610456
94,source90-99,44.51061223074794,65.72885183244944,71.19452629983425
95,source90-99,43.520587000995874,65.02202797681093,70.70539198070765
96,source90-99,45.00042978674173,66.12730257213116,71.78722648322582
97,source90-99,50.30180975049734,71.92682950943708,77.73487285897136
98,source90-99,44.82423037290573,66.23237700387836,71.97631844505668
99,source90-99,44.25045696645975,65.9083175547421,71.63601554185152
